"","KE ID","AOP ID","Molecular Pathways"
"390","Increase Regenerative Cell Proliferation Hepatocytes","Chronic cytotoxicity leading to hepatocellular adenomas and carcinomas (in mouse and rat)","GO:0008283"
"391","Inhibition Cyclooxygenase Activity","Cyclooxygenase inhibition leading reproductive failure","GO:0004666"
"392","Increased Leutinizing Hormone Lh","Inhibition of 5α-reductase leading to Leydig cell tumors (in rat)","LUTEINIZING"
"393","Increase Urinary Bladder Calculi","Urinary bladder calculi leading to urothelial papillomas and carcinomas (in mouse and rat)","ABNORMALITY OF THE BLADDER"
"394","Increase Regenerative Cell Proliferation Urothelial Cells","Urinary bladder calculi leading to urothelial papillomas and carcinomas (in mouse and rat)","GO:0008283"
"395","Increase Hyperplasia Urothelial","Urinary bladder calculi leading to urothelial papillomas and carcinomas (in mouse and rat)","ADRENAL HYPERPLASIA"
"396","Inhibition Prolyl Hydroxylases","Prolyl hydroxylase inhibition leading to reproductive dysfunction via increased HIF1 heterodimer formation","GO:0003824"
"397","Increased Hif-1 Heterodimer","Prolyl hydroxylase inhibition leading to reproductive dysfunction via increased HIF1 heterodimer formation","HIF1A AND PPARG REGULATION OF GLYCOLYSIS"
"398","Decreased 3-Hydroxyacyl-Coa Dehydrogenase Type-2 Activity","Peroxisomal Fatty Acid Beta-Oxidation Inhibition Leading to Steatosis","GO:0003857"
"399","Up Regulation Cyp1a1","AhR activation leading to hepatic steatosis","ARYL HYDROCARBON RECEPTOR PATHWAY"
"400","Decreased Aromatase Cyp19a1 Mrna","Prolyl hydroxylase inhibition leading to reproductive dysfunction via increased HIF1 heterodimer formation","GO:0070330"
"401","Increased Hif-1 Alpha Transcription","Unknown MIE leading to reproductive dysfunction via increased HIF-1alpha transcription","HIF1A AND PPARG REGULATION OF GLYCOLYSIS"
"402","Inhibition Hmg-Coa Reductase","HMG-CoA reductase inhibition leading to decreased fertility","NADPH REGENERATION"
"403","Decreased Mevalonate","HMG-CoA reductase inhibition leading to decreased fertility","MEVALONATE PATHWAY"
"404","Decreased Cholesterol","HMG-CoA reductase inhibition leading to decreased fertility","ABNORMAL CIRCULATING CHOLESTEROL CONCENTRATION"
"405","Malformed Male Reproductive Tract","HMG-CoA reductase inhibition leading to decreased fertility","MALE REPRODUCTIVE SYSTEM NEOPLASM"
"406","Increased Serum Creatinine","Kidney dysfunction by decreased thyroid hormone","INCREASED SERUM SEROTONIN"
"407","Occurrence Kidney Toxicity","Kidney dysfunction by decreased thyroid hormone","ABNORMALITY OF ADRENAL PHYSIOLOGY"
"408","Occurrence Cytoplasmic Vacuolization Renal Tubule","Kidney dysfunction by decreased thyroid hormone","ABNORMAL RENAL TUBULE MORPHOLOGY"
"409","Decreased Glomerular Filtration","Kidney dysfunction by decreased thyroid hormone","GLOMERULAR SCLEROSIS"
"410","Decreased Renal Plasma Flow","Kidney dysfunction by decreased thyroid hormone","DECREASED PLASMA CARNITINE"
"411","Decreased Sodium Reabsorption","Kidney dysfunction by decreased thyroid hormone","ABNORMAL BLOOD SODIUM CONCENTRATION"
"412","Occurrence Cystic Dilatation Renal Tubule","Kidney dysfunction by decreased thyroid hormone","ABNORMAL RENAL TUBULE MORPHOLOGY"
"413","Occurrence Cytoplasmic Vacuolization Podocyte","Kidney dysfunction by decreased thyroid hormone","CYTOPLASMIC RIBOSOMAL PROTEINS"
"414","Decreased Renal Ability To Dilute Urine","Kidney dysfunction by decreased thyroid hormone","ABNORMALITY OF ADRENAL PHYSIOLOGY"
"415","Activation Keratinocytes","Covalent Protein binding leading to Skin Sensitisation","GO:0002534"
"416","Inhibition Phospholipase A","Phospholipase A2 (LPLA2) inhibitors leading to hepatotoxicity","GO:0004620"
"417","Damage Lipid Bilayer","Phospholipase A2 (LPLA2) inhibitors leading to hepatotoxicity","LIPID METABOLISM PATHWAY"
"418","Disturbance Lysosomal Function","Phospholipase A2 (LPLA2) inhibitors leading to hepatotoxicity","LYSOSOMAL TRANSPORT"
"419","Occurrence Cytoplasmic Vacuolization Hepatocyte","Phospholipase A2 (LPLA2) inhibitors leading to hepatotoxicity","SIGNALING OF HEPATOCYTE GROWTH FACTOR RECEPTOR"
"420","Occurrence Ballooning Degeneration Hepatocyte","Phospholipase A2 (LPLA2) inhibitors leading to hepatotoxicity","SIGNALING OF HEPATOCYTE GROWTH FACTOR RECEPTOR"
"421","Occurrence Cytoplasmic Vacuolization Bile Duct Cell","Phospholipase A2 (LPLA2) inhibitors leading to hepatotoxicity","UPPER MOTOR NEURON DYSFUNCTION"
"422","Occurrence Cytoplasmic Vacuolization Kupffer Cell","Phospholipase A2 (LPLA2) inhibitors leading to hepatotoxicity","UPPER MOTOR NEURON DYSFUNCTION"
"423","Induction Microvesicular Fat","Phospholipase A2 (LPLA2) inhibitors leading to hepatotoxicity","FAT MALABSORPTION"
"424","Formation Liver Fibrosis","Phospholipase A2 (LPLA2) inhibitors leading to hepatotoxicity","ABNORMAL LIVER MORPHOLOGY"
"425","Inhibition Urod","Aryl hydrocarbon receptor activation leading to uroporphyria","GO:0003824"
"426","Accumulation Highly Carboxylated Porphyrins","Aryl hydrocarbon receptor activation leading to uroporphyria","CTOME METABOLISM OF PORPHYRINS"
"427","Changes/Inhibition Cellular Homeostasis And Apoptosis","Sustained AhR Activation leading to Rodent Liver Tumours","GO:0006915"
"428","Alterations Cellular Proliferation / Hyperplasia","Sustained AhR Activation leading to Rodent Liver Tumours","GO:0008283"
"429","Formation Hepatocellular And Bile Duct Tumors","Sustained AhR Activation leading to Rodent Liver Tumours","HEPATOCELLULAR CARCINOMA"
"430","Decreased Pparalpha Transactivation Of Gene Expression","Antagonist binding to PPARα leading to body-weight loss","GO:0035624"
"431","Decreased Mitochondrial Fatty Acid Beta Oxidation","Glucocorticoid Receptor activation leading to hepatic steatosis","GO:0006635"
"432","Decreased Ketogenesis Production Of Ketone Bodies","Antagonist binding to PPARα leading to body-weight loss","CTOME SYNTHESIS OF KETONE BODIES"
"433","Not Increased Circulating Ketone Bodies","Antagonist binding to PPARα leading to body-weight loss","SYNTHESIS AND DEGRADATION OF KETONE BODIES"
"434","Increased Catabolism Of Muscle Protein","Antagonist binding to PPARα leading to body-weight loss","GO:0030163"
"435","Decreased Body Weight","Antagonist binding to PPARα leading to body-weight loss","DECREASED BODY WEIGHT"
"436","Decrease Intracellular Ph","Intracellular Acidification Induced Olfactory Epithelial Injury Leading to Site of Contact Nasal Tumors","REGULATION OF PH"
"437","Increase Tissue Degeneration Necrosis & Atrophy","Intracellular Acidification Induced Olfactory Epithelial Injury Leading to Site of Contact Nasal Tumors","GO:0070265"
"438","Increase Respiratory Or Squamous Metaplasia","Intracellular Acidification Induced Olfactory Epithelial Injury Leading to Site of Contact Nasal Tumors","SQUAMOUS CELL CARCINOMA"
"439","Release Cytokine","Cholestatic Liver Injury induced by Inhibition of the Bile Salt Export Pump (ABCB11)","GO:0050663"
"440","Increase Site Of Contact Nasal Tumors","Intracellular Acidification Induced Olfactory Epithelial Injury Leading to Site of Contact Nasal Tumors","ABNORMAL NASAL MORPHOLOGY"
"441","Binding Of Agonist Ionotropic Glutamate Receptors","Binding of agonists to ionotropic glutamate receptors in adult brain causes excitotoxicity that mediates neuronal cell death, contributing to learning and memory impairment.","GO:0004970"
"442","Increase Mutations In Critical Genes","Intracellular Acidification Induced Olfactory Epithelial Injury Leading to Site of Contact Nasal Tumors","SOMATIC MUTATION"
"443","Inhibition Srebp1c","NFE2L2/FXR activation leading to hepatic steatosis","STEROL REGULATORY ELEMENTBINDING PROTEINS SREBP SIGNALLIN"
"444","Increase Cancer","Alkylation of DNA leading to cancer 2","BLADDER CANCER"
"445","Inhibition Nadh-Ubiquinone Oxidoreductase Complex I","Inhibition of the mitochondrial complex I of nigro-striatal neurons leads to parkinsonian motor deficits","GO:0008137"
"446","Binding Of Inhibitor Nadh-Ubiquinone Oxidoreductase Complex I","Inhibition of the mitochondrial complex I of nigro-striatal neurons leads to parkinsonian motor deficits","GO:0006120"
"447","Impaired Proteostasis","Inhibition of the mitochondrial complex I of nigro-striatal neurons leads to parkinsonian motor deficits","REGULATION OF PROTEOLYSIS"
"448","Synthesis De Novo Fa","LXR activation leading to hepatic steatosis","GO:0006633"
"449","Disruption Lysosome","Receptor mediated endocytosis and lysosomal overload leading to kidney toxicity","GO:1903008"
"450","Infiltration Inflammatory Cells","Activation of reactive oxygen species leading the atherosclerosis","GO:0006954"
"451","Inflammation Liver","Dysregulated prolonged Toll Like Receptor 9 (TLR9) activation leading to Multi Organ Failure involving Acute Respiratory Distress Syndrome (ARDS)","ABNORMAL LIVER MORPHOLOGY"
"452","Oxidation Glutathione","Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress leads to chronic kidney disease","GO:0016209"
"453","Depletion Nitric Oxide","Peptide Oxidation Leading to Hypertension","GO:0006809"
"454","Decrease Tetrahydrobiopterin","Peptide Oxidation Leading to Hypertension","GO:0009058"
"455","Decrease Gtpch-1","Peptide Oxidation Leading to Hypertension","GO:1903009"
"456","Impaired Vasodilation","Peptide Oxidation Leading to Hypertension","GO:0042311"
"457","Activation Egfr","EGFR Activation Leading to Decreased Lung Function","CTOME SIGNALING BY EGFR"
"458","Dimerization Ahr/Arnt","Aryl hydrocarbon receptor activation leading to early life stage mortality, via reduced VEGF","GO:0046983"
"459","Reduced Dimerization Arnt/Hif1-Alpha","Aryl hydrocarbon receptor activation leading to early life stage mortality, via reduced VEGF","GO:0046983"
"460","Reduced Production Vegf","Aryl hydrocarbon receptor activation leading to early life stage mortality, via reduced VEGF","G VEGF SIGNALING PATHWAY"
"461","Increase Vascular Resistance","Peptide Oxidation Leading to Hypertension","INCREASED PULMONARY VASCULAR RESISTANCE"
"462","Increase Mucin Production","EGFR Activation Leading to Decreased Lung Function","GO:0046903"
"463","Alkylation Dna","Alkylation of DNA in male pre-meiotic germ cells leading to heritable mutations","GO:0006305"
"464","Decrease Akt/Enos Activity","Peptide Oxidation Leading to Hypertension","GO:0003824"
"465","Reduction Abdominal Muscle Contraction","Ecdysone receptor agonism leading to incomplete ecdysis associated mortality","GO:0006936"
"466","Binding Of Antagonist Ppar Alpha","Antagonist binding to PPARα leading to body-weight loss","GO:0048019"
